"","Murder","Assault","UrbanPop","Rape","Region.1"
"AL",13.2,236,58,21.2,south
"AK",10,263,48,44.5,west
"AZ",8.1,294,80,31,west
"AR",8.8,190,50,19.5,central
"CA",9,276,91,40.6,west
"CO",7.9,204,78,38.7,central
"CT",3.3,110,77,11.1,east
"DE",5.9,238,72,15.8,east
"FL",15.4,335,80,31.9,south
"GA",17.4,211,60,25.8,south
"HI",5.3,46,83,20.2,west
"ID",2.6,120,54,14.2,central
"IL",10.4,249,83,24,central
"IN",7.2,113,65,21,central
"IA",2.2,56,57,11.3,central
"KS",6,115,66,18,central
"KY",9.7,109,52,16.3,central
"LA",15.4,249,66,22.2,south
"ME",2.1,83,51,7.8,east
"MD",11.3,300,67,27.8,east
"MA",4.4,149,85,16.3,east
"MI",12.1,255,74,35.1,east
"MN",2.7,72,66,14.9,central
"MS",16.1,259,44,17.1,south
"MO",9,178,70,28.2,central
"MT",6,109,53,16.4,central
"NE",4.3,102,62,16.5,central
"NV",12.2,252,81,46,west
"NH",2.1,57,56,9.5,east
"NJ",7.4,159,89,18.8,east
"NM",11.4,285,70,32.1,south
"NY",11.1,254,86,26.1,east
"NC",13,337,45,16.1,south
"ND",0.8,45,44,7.3,central
"OH",7.3,120,75,21.4,central
"OK",6.6,151,68,20,central
"OR",4.9,159,67,29.3,west
"PA",6.3,106,72,14.9,east
"RI",3.4,174,87,8.3,east
"SC",14.4,279,48,22.5,south
"SD",3.8,86,45,12.8,central
"TN",13.2,188,59,26.9,central
"TX",12.7,201,80,25.5,south
"UT",3.2,120,80,22.9,central
"VT",2.2,48,32,11.2,east
"VA",8.5,156,63,20.7,east
"WA",4,145,73,26.2,west
"WV",5.7,81,39,9.3,east
"WI",2.6,53,66,10.8,central
"WY",6.8,161,60,15.6
